15	10	E	-7555723.021070745	200
emissionprobs	5	1	H2AFZ	1	0.19465626959211282
emissionprobs	5	2	H3K27ac	0	0.9971272042670368
emissionprobs	5	2	H3K27ac	1	0.0028727957329631798
emissionprobs	5	3	H3K27me3	0	0.5242284081094241
emissionprobs	5	3	H3K27me3	1	0.47577159189057594
emissionprobs	5	4	H3K36me3	0	0.849189929315235
emissionprobs	5	4	H3K36me3	1	0.1508100706847651
emissionprobs	5	5	H3K4me1	0	0.7427258655710898
emissionprobs	5	5	H3K4me1	1	0.2572741344289102
emissionprobs	5	6	H3K4me2	0	0.03430171517847319
emissionprobs	5	6	H3K4me2	1	0.9656982848215269
emissionprobs	5	7	H3K4me3	0	0.087840070815412
emissionprobs	5	7	H3K4me3	1	0.912159929184588
emissionprobs	5	8	H3K79me2	0	0.03010366957456918
emissionprobs	5	8	H3K79me2	1	0.9698963304254309
emissionprobs	5	9	H3K9me3	0	0.9940282276581475
emissionprobs	5	9	H3K9me3	1	0.00597177234185246
emissionprobs	6	0	3K9ac	0	0.13405211209867207
emissionprobs	6	0	3K9ac	1	0.865947887901328
emissionprobs	6	1	H2AFZ	0	0.23277752620816572
emissionprobs	6	1	H2AFZ	1	0.7672224737918342
emissionprobs	6	2	H3K27ac	0	0.9967709474684956
emissionprobs	6	2	H3K27ac	1	0.0032290525315043115
emissionprobs	6	3	H3K27me3	0	0.02938096671218417
emissionprobs	6	3	H3K27me3	1	0.9706190332878157
emissionprobs	6	4	H3K36me3	0	0.9953202931936428
emissionprobs	6	4	H3K36me3	1	0.004679706806357253
emissionprobs	6	5	H3K4me1	0	0.9467619648025299
emissionprobs	6	5	H3K4me1	1	0.05323803519747001
emissionprobs	6	6	H3K4me2	0	0.10710241114550391
emissionprobs	6	6	H3K4me2	1	0.892897588854496
emissionprobs	6	7	H3K4me3	0	0.0012372921081092152
emissionprobs	6	7	H3K4me3	1	0.9987627078918907
emissionprobs	6	8	H3K79me2	0	0.3794159216174576
emissionprobs	6	8	H3K79me2	1	0.6205840783825424
emissionprobs	6	9	H3K9me3	0	0.9980556906643338
emissionprobs	6	9	H3K9me3	1	0.0019443093356663263
emissionprobs	7	0	3K9ac	0	0.901854341621568
emissionprobs	7	0	3K9ac	1	0.09814565837843202
emissionprobs	7	1	H2AFZ	0	0.21955087070788554
emissionprobs	7	1	H2AFZ	1	0.7804491292921145
emissionprobs	7	2	H3K27ac	0	0.9908682991242741
emissionprobs	7	2	H3K27ac	1	0.009131700875725969
emissionprobs	7	3	H3K27me3	0	0.749413168054828
emissionprobs	7	3	H3K27me3	1	0.2505868319451719
emissionprobs	7	4	H3K36me3	0	0.9986640428691927
emissionprobs	7	4	H3K36me3	1	0.0013359571308072609
emissionprobs	7	5	H3K4me1	0	0.8344471452574874
emissionprobs	7	5	H3K4me1	1	0.16555285474251266
emissionprobs	7	6	H3K4me2	0	0.11921890265423592
emissionprobs	7	6	H3K4me2	1	0.880781097345764
emissionprobs	7	7	H3K4me3	0	0.2876417878539565
emissionprobs	7	7	H3K4me3	1	0.7123582121460434
emissionprobs	7	8	H3K79me2	0	0.9641351600713666
emissionprobs	7	8	H3K79me2	1	0.035864839928633464
emissionprobs	7	9	H3K9me3	0	0.9983573774311306
emissionprobs	7	9	H3K9me3	1	0.00164262256886934
emissionprobs	8	0	3K9ac	0	0.9369747018044944
emissionprobs	8	0	3K9ac	1	0.06302529819550573
emissionprobs	8	1	H2AFZ	0	0.5390033731772192
emissionprobs	8	1	H2AFZ	1	0.46099662682278075
emissionprobs	8	2	H3K27ac	0	0.3985694391016809
emissionprobs	8	2	H3K27ac	1	0.6014305608983191
emissionprobs	8	3	H3K27me3	0	0.9847077391472997
emissionprobs	8	3	H3K27me3	1	0.015292260852700369
emissionprobs	8	4	H3K36me3	0	0.9694636684061719
emissionprobs	8	4	H3K36me3	1	0.03053633159382804
emissionprobs	8	5	H3K4me1	0	0.8902448296269018
emissionprobs	8	5	H3K4me1	1	0.1097551703730983
emissionprobs	8	6	H3K4me2	0	0.2932126930234456
emissionprobs	8	6	H3K4me2	1	0.7067873069765543
emissionprobs	8	7	H3K4me3	0	0.514780107254684
emissionprobs	8	7	H3K4me3	1	0.48521989274531585
emissionprobs	8	8	H3K79me2	0	0.9834641332802304
